time,gFx,gFy,gFz,TgF
0.001044583,-0.1905,0.4456,0.7793,0.918
0.001861354,-0.1854,0.4417,0.7641,0.902
0.004775208,-0.1798,0.4371,0.7519,0.888
0.006441146,-0.1747,0.4312,0.7417,0.876
0.009269167,-0.1734,0.4226,0.7407,0.870
0.011640521,-0.1742,0.4180,0.7441,0.871
0.013998646,-0.1796,0.4185,0.7495,0.877
0.016499844,-0.1844,0.4180,0.7576,0.885
0.018800729,-0.1859,0.4194,0.7683,0.895
0.021490364,-0.1832,0.4204,0.7798,0.905
0.024290729,-0.1793,0.4190,0.7925,0.914
0.026344479,-0.1764,0.4192,0.8037,0.923
0.028891562,-0.1722,0.4216,0.8147,0.933
0.03156125,-0.1683,0.4212,0.8250,0.941
0.034087864,-0.1632,0.4229,0.8304,0.946
0.036351406,-0.1615,0.4231,0.8328,0.948
0.039133646,-0.1593,0.4236,0.8326,0.948
0.041603385,-0.1564,0.4253,0.8326,0.948
0.044104219,-0.1561,0.4231,0.8306,0.945
0.046542031,-0.1566,0.4209,0.8272,0.941
0.048950833,-0.1590,0.4192,0.8240,0.938
0.051501823,-0.1600,0.4172,0.8230,0.937
0.054675573,-0.1598,0.4136,0.8220,0.934
0.056408542,-0.1586,0.4102,0.8206,0.931
0.058899531,-0.1561,0.4075,0.8155,0.925
0.061428698,-0.1525,0.4058,0.8128,0.921
0.064415521,-0.1468,0.4016,0.8096,0.916
0.066463958,-0.1471,0.3948,0.8069,0.910
0.069028125,-0.1441,0.3860,0.7988,0.899
0.071692708,-0.1422,0.3767,0.7886,0.885
0.074047396,-0.1390,0.3657,0.7761,0.869
0.076374792,-0.1361,0.3552,0.7661,0.855
0.079254062,-0.1339,0.3476,0.7566,0.843
0.081795885,-0.1348,0.3415,0.7493,0.834
0.084376198,-0.1400,0.3342,0.7453,0.829
0.086387187,-0.1664,0.3237,0.7261,0.812
0.088948594,-0.2101,0.3068,0.6970,0.790
0.091534323,-0.2331,0.2924,0.6916,0.786
0.093895937,-0.2440,0.2812,0.7023,0.795
0.096756875,-0.2426,0.2910,0.7224,0.816
0.099182239,-0.2343,0.3049,0.7422,0.836
0.101493489,-0.2291,0.3196,0.7551,0.851
0.104150208,-0.2250,0.3264,0.7622,0.859
0.106582292,-0.2245,0.3266,0.7644,0.861
0.108968646,-0.2260,0.3217,0.7688,0.863
0.11151026,-0.2277,0.3112,0.7720,0.863
0.114254167,-0.2318,0.3017,0.7735,0.862
0.116387187,-0.2382,0.2914,0.7752,0.862
0.118841354,-0.2475,0.2829,0.7754,0.862
0.121811146,-0.2585,0.2756,0.7742,0.861
0.124392135,-0.2680,0.2729,0.7671,0.857
0.126380781,-0.2814,0.2695,0.7578,0.852
0.129341875,-0.2936,0.2653,0.7468,0.845
0.131636614,-0.3056,0.2653,0.7341,0.838
0.134000937,-0.3205,0.2658,0.7212,0.833
0.136379844,-0.3340,0.2678,0.7072,0.827
0.139014896,-0.3469,0.2678,0.6948,0.821
0.141622969,-0.3637,0.2682,0.6835,0.819
0.144234323,-0.3784,0.2670,0.6728,0.817
0.146584479,-0.3914,0.2631,0.6679,0.818
0.149010364,-0.4016,0.2595,0.6638,0.818
0.151531562,-0.4085,0.2526,0.6647,0.820
0.154497917,-0.4111,0.2445,0.6662,0.820
0.156825417,-0.4129,0.2384,0.6652,0.818
0.159401875,-0.4148,0.2267,0.6640,0.815
0.162888125,-0.4146,0.2106,0.6579,0.806
0.164234896,-0.4094,0.1949,0.6488,0.792
0.166544635,-0.4036,0.1786,0.6408,0.778
0.168945989,-0.3999,0.1549,0.6259,0.759
0.171695781,-0.3933,0.1314,0.6066,0.735
0.174172135,-0.3779,0.1048,0.5880,0.707
0.176384166,-0.3545,0.0772,0.5685,0.674
0.179395052,-0.3222,0.0496,0.5475,0.637
0.182817135,-0.2892,0.0251,0.5179,0.594
0.183959166,-0.2567,0.0073,0.4793,0.544
0.186444323,-0.2304,0.0020,0.4397,0.496
0.189249114,-0.2182,0.0056,0.4114,0.466
0.191616562,-0.2277,0.0156,0.4067,0.466
0.194109791,-0.2604,0.0296,0.4336,0.507
0.197265833,-0.2953,0.0325,0.4839,0.568
0.199119635,-0.3271,0.0288,0.5550,0.645
0.202870937,-0.3457,0.0122,0.6269,0.716
0.204206198,-0.3471,-0.0149,0.6882,0.771
0.206683541,-0.3432,-0.0440,0.7214,0.800
0.209068073,-0.3410,-0.0704,0.7212,0.801
0.211620781,-0.3384,-0.0946,0.6940,0.778
0.214180625,-0.3391,-0.1119,0.6589,0.749
0.21651276,-0.3381,-0.1226,0.6271,0.723
0.219155052,-0.3354,-0.1309,0.6015,0.701
0.223012448,-0.3335,-0.1324,0.5892,0.690
0.22418901,-0.3322,-0.1275,0.5831,0.683
0.226587916,-0.3249,-0.1282,0.5712,0.670
0.229337916,-0.3166,-0.1273,0.5524,0.649
0.231683333,-0.3058,-0.1292,0.5306,0.626
0.23432125,-0.2941,-0.1334,0.5079,0.602
0.236483177,-0.2856,-0.1417,0.4871,0.582
0.239106927,-0.2795,-0.1517,0.4705,0.568
0.242920312,-0.2787,-0.1617,0.4551,0.558
0.24413651,-0.2797,-0.1708,0.4356,0.545
0.247358594,-0.2807,-0.1822,0.4121,0.531
0.249470156,-0.2819,-0.1898,0.3892,0.517
0.251643854,-0.2812,-0.1981,0.3623,0.500
0.254316146,-0.2780,-0.2057,0.3366,0.483
0.256649166,-0.2753,-0.2150,0.3132,0.469
0.259167135,-0.2702,-0.2262,0.2892,0.456
0.262943177,-0.2636,-0.2367,0.2631,0.441
0.264247864,-0.2558,-0.2501,0.2396,0.431
0.266532239,-0.2472,-0.2634,0.2196,0.423
0.268969531,-0.2382,-0.2790,0.2025,0.419
0.271779166,-0.2294,-0.2922,0.1871,0.416
0.274217239,-0.2262,-0.3049,0.1715,0.417
0.276585052,-0.2257,-0.3188,0.1561,0.421
0.279284948,-0.2272,-0.3347,0.1490,0.431
0.282923333,-0.2311,-0.3501,0.1429,0.443
0.284068437,-0.2406,-0.3642,0.1383,0.458
0.28653651,-0.2487,-0.3772,0.1336,0.471
0.289180937,-0.2555,-0.3865,0.1307,0.481
0.291659062,-0.2687,-0.3960,0.1273,0.495
0.294142969,-0.2839,-0.4065,0.1214,0.510
0.296622552,-0.2983,-0.4172,0.1158,0.526
0.299175208,-0.3132,-0.4327,0.1112,0.546
0.302918489,-0.3322,-0.4471,0.1077,0.567
0.304336094,-0.3503,-0.4610,0.1070,0.589
0.306783594,-0.3691,-0.4732,0.1107,0.610
0.309397344,-0.3919,-0.4864,0.1165,0.635
0.311934062,-0.4133,-0.4947,0.1280,0.657
0.314240104,-0.4373,-0.5067,0.1405,0.684
0.31673375,-0.4629,-0.5211,0.1564,0.714
0.319087969,-0.4879,-0.5352,0.1776,0.746
0.323141666,-0.5116,-0.5477,0.2008,0.776
0.324239531,-0.5294,-0.5609,0.2284,0.804
0.326556771,-0.5485,-0.5736,0.2617,0.836
0.329153437,-0.5648,-0.5861,0.2963,0.866
0.331784583,-0.5768,-0.6000,0.3337,0.897
0.334142291,-0.5880,-0.6139,0.3698,0.927
0.336893021,-0.5985,-0.6291,0.4019,0.957
0.339408906,-0.6086,-0.6442,0.4300,0.985
0.342862812,-0.6186,-0.6559,0.4554,1.010
0.344079427,-0.6281,-0.6696,0.4813,1.037
0.346786562,-0.6374,-0.6831,0.5103,1.065
0.349123802,-0.6496,-0.6965,0.5396,1.095
0.351664323,-0.6606,-0.7082,0.5707,1.124
0.354345156,-0.6774,-0.7231,0.6005,1.159
0.356624219,-0.7004,-0.7370,0.6247,1.193
0.359114114,-0.7263,-0.7495,0.6474,1.228
0.363087291,-0.7507,-0.7600,0.6674,1.260
0.364393437,-0.7720,-0.7698,0.6828,1.286
0.366603125,-0.7932,-0.7793,0.6953,1.311
0.369396198,-0.8140,-0.7862,0.7009,1.331
0.372179635,-0.8379,-0.7920,0.7028,1.350
0.374389375,-0.8631,-0.7920,0.7011,1.365
0.3765975,-0.8934,-0.7932,0.6948,1.382
0.379237812,-0.9234,-0.7893,0.6855,1.395
0.382948021,-0.9513,-0.7847,0.6738,1.405
0.384292291,-0.9782,-0.7786,0.6613,1.414
0.387065989,-1.0033,-0.7729,0.6471,1.422
0.389653125,-1.0265,-0.7707,0.6266,1.428
0.391800521,-1.0475,-0.7681,0.6073,1.434
0.394121666,-1.0629,-0.7676,0.5897,1.438
0.396975468,-1.0654,-0.7634,0.5797,1.433
0.399334114,-1.0766,-0.7632,0.5651,1.436
0.403013854,-1.0957,-0.7656,0.5372,1.441
0.405734843,-1.1106,-0.7754,0.5160,1.449
0.406677552,-1.1252,-0.7859,0.4986,1.460
0.409375781,-1.1387,-0.7947,0.4837,1.470
0.412144271,-1.1492,-0.8030,0.4720,1.479
0.414626562,-1.1584,-0.8103,0.4593,1.486
0.416673906,-1.1716,-0.8218,0.4463,1.499
0.419155729,-1.1878,-0.8350,0.4385,1.517
0.423548958,-1.2076,-0.8553,0.4268,1.540
0.424255312,-1.2347,-0.8731,0.4246,1.571
0.426629948,-1.2628,-0.8956,0.4273,1.606
0.429530104,-1.2948,-0.9161,0.4419,1.647
0.431843489,-1.3246,-0.9327,0.4661,1.686
0.43426375,-1.3563,-0.9476,0.4967,1.728
0.436960937,-1.3895,-0.9572,0.5291,1.768
0.439459427,-1.4274,-0.9650,0.5619,1.812
0.443005989,-1.4763,-0.9711,0.5939,1.864
0.444491406,-1.5393,-0.9789,0.6230,1.928
0.447149531,-1.6158,-0.9779,0.6471,1.996
0.449590729,-1.7035,-0.9669,0.6696,2.070
0.451821823,-1.7978,-0.9439,0.6867,2.143
0.454367604,-1.8970,-0.9102,0.6965,2.216
0.456778646,-1.9954,-0.8721,0.6994,2.287
0.459422187,-2.0833,-0.8311,0.7001,2.350
0.463362291,-2.1635,-0.7859,0.6967,2.405
0.46443375,-2.2373,-0.7436,0.6865,2.456
0.466706406,-2.3030,-0.7075,0.6745,2.502
0.469174114,-2.3626,-0.6750,0.6576,2.544
0.472519843,-2.4127,-0.6447,0.6364,2.577
0.474486302,-2.4552,-0.6193,0.6078,2.604
0.47666276,-2.4840,-0.5919,0.5746,2.617
0.479317343,-2.5016,-0.5724,0.5396,2.622
0.483103854,-2.5050,-0.5558,0.5001,2.614
0.484225521,-2.4955,-0.5423,0.4563,2.594
0.486864791,-2.4835,-0.5323,0.4082,2.573
0.489623541,-2.4603,-0.5245,0.3611,2.541
0.491839635,-2.4327,-0.5274,0.3166,2.509
0.494177916,-2.4039,-0.5291,0.2761,2.477
0.496822343,-2.3701,-0.5357,0.2416,2.442
0.499214375,-2.3426,-0.5463,0.2147,2.415
0.504286406,-2.3174,-0.5572,0.1944,2.391
0.50470125,-2.2971,-0.5680,0.1815,2.373
0.506979479,-2.2808,-0.5795,0.1771,2.360
0.509383854,-2.2646,-0.5914,0.1837,2.348
0.511868021,-2.2502,-0.6054,0.1988,2.339
0.514318385,-2.2443,-0.6188,0.2223,2.339
0.516775989,-2.2426,-0.6266,0.2514,2.342
0.519531041,-2.2470,-0.6252,0.2812,2.349
0.523234114,-2.2829,-0.6049,0.1896,2.369
0.524266406,-2.3137,-0.5651,0.1412,2.386
0.526668958,-2.3247,-0.5367,0.1564,2.391
0.5294,-2.3213,-0.5196,0.1922,2.387
0.531954062,-2.3306,-0.5045,0.2436,2.397
