time,gFx,gFy,gFz,TgF
0.002200104,-0.0271,0.3227,0.9594,1.013
0.002500156,-0.0249,0.3227,0.9596,1.013
0.005166927,-0.0249,0.3242,0.9594,1.013
0.007343229,-0.0251,0.3242,0.9591,1.013
0.01124125,-0.0244,0.3264,0.9601,1.014
0.012122031,-0.0239,0.3276,0.9598,1.014
0.016571198,-0.0237,0.3296,0.9567,1.012
0.017434271,-0.0239,0.3325,0.9555,1.012
0.01969625,-0.0264,0.3340,0.9523,1.009
0.022375885,-0.0276,0.3369,0.9469,1.005
0.024653177,-0.0271,0.3420,0.9398,1.000
0.027115469,-0.0276,0.3449,0.9334,0.996
0.031287864,-0.0296,0.3493,0.9276,0.992
0.032379062,-0.0320,0.3501,0.9215,0.986
0.03492125,-0.0325,0.3545,0.9161,0.983
0.037402292,-0.0315,0.3559,0.9137,0.981
0.039909427,-0.0306,0.3586,0.9110,0.980
0.042363385,-0.0293,0.3615,0.9071,0.977
0.044659792,-0.0278,0.3642,0.9037,0.975
0.047248177,-0.0286,0.3664,0.9002,0.972
0.051283177,-0.0261,0.3669,0.8988,0.971
0.052369844,-0.0273,0.3696,0.8966,0.970
0.05510901,-0.0288,0.3716,0.8944,0.969
0.057635208,-0.0269,0.3713,0.8954,0.970
0.059783437,-0.0281,0.3738,0.8983,0.973
0.062187969,-0.0276,0.3745,0.8980,0.973
0.064949062,-0.0283,0.3733,0.8990,0.974
0.06741276,-0.0269,0.3767,0.8990,0.975
0.071869062,-0.0244,0.3782,0.8985,0.975
0.072684114,-0.0220,0.3779,0.8985,0.975
0.07491026,-0.0203,0.3782,0.8973,0.974
0.077312344,-0.0178,0.3772,0.8917,0.968
0.080755469,-0.0168,0.3738,0.8883,0.964
0.082539896,-0.0164,0.3738,0.8831,0.959
0.085140312,-0.0154,0.3723,0.8753,0.951
0.087160521,-0.0161,0.3716,0.8685,0.945
0.091388802,-0.0164,0.3674,0.8621,0.937
0.092298906,-0.0156,0.3672,0.8541,0.930
0.094696927,-0.0166,0.3652,0.8472,0.923
0.097817291,-0.0195,0.3633,0.8406,0.916
0.099885989,-0.0220,0.3601,0.8326,0.907
0.102225052,-0.0291,0.3545,0.8286,0.902
0.106174896,-0.0369,0.3510,0.8220,0.895
0.10743651,-0.0486,0.3442,0.8152,0.886
0.111167187,-0.0581,0.3420,0.8093,0.881
0.112397656,-0.0645,0.3410,0.8057,0.877
0.114890833,-0.0704,0.3381,0.8025,0.874
0.117373021,-0.0777,0.3322,0.7947,0.865
0.119807916,-0.0860,0.3271,0.7908,0.860
0.122618021,-0.0916,0.3225,0.7876,0.856
0.124852969,-0.0992,0.3141,0.7879,0.854
0.127551719,-0.1087,0.3071,0.7883,0.853
0.131757916,-0.1195,0.3024,0.7901,0.854
0.132442708,-0.1302,0.2961,0.7910,0.855
0.134808802,-0.1439,0.2941,0.7984,0.863
0.137660937,-0.1573,0.2912,0.8050,0.870
0.139925937,-0.1710,0.2885,0.8091,0.876
0.142614844,-0.1839,0.2839,0.8174,0.885
0.144995781,-0.1949,0.2809,0.8235,0.892
0.147504635,-0.2035,0.2770,0.8328,0.901
0.151003646,-0.2084,0.2731,0.8440,0.911
0.15230276,-0.2108,0.2675,0.8502,0.916
0.154948385,-0.2113,0.2602,0.8536,0.917
0.157939114,-0.2089,0.2548,0.8563,0.917
0.159941458,-0.2055,0.2472,0.8553,0.914
0.162338281,-0.1991,0.2409,0.8516,0.907
0.16507401,-0.1908,0.2353,0.8458,0.898
0.167293177,-0.1830,0.2291,0.8375,0.887
0.171565364,-0.1747,0.2216,0.8291,0.876
0.172576562,-0.1637,0.2145,0.8223,0.865
0.174937239,-0.1525,0.2096,0.8106,0.851
0.177447604,-0.1439,0.2023,0.8001,0.838
0.18015,-0.1331,0.1920,0.7881,0.822
0.182382344,-0.1253,0.1818,0.7727,0.804
0.185452708,-0.1182,0.1710,0.7561,0.784
0.187554635,-0.1102,0.1620,0.7402,0.766
0.191118698,-0.1041,0.1537,0.7226,0.746
0.192434062,-0.0992,0.1441,0.7031,0.725
0.19487901,-0.0943,0.1385,0.6826,0.703
0.197821771,-0.0931,0.1326,0.6635,0.683
0.19994151,-0.0938,0.1241,0.6454,0.664
0.202563073,-0.0985,0.1148,0.6269,0.645
0.205135156,-0.1029,0.1055,0.6081,0.626
0.207451146,-0.1090,0.0950,0.5919,0.609
0.211335781,-0.1173,0.0870,0.5763,0.594
0.212369427,-0.1278,0.0774,0.5626,0.582
0.215017604,-0.1363,0.0689,0.5492,0.570
0.217732083,-0.1444,0.0633,0.5372,0.560
0.219966927,-0.1522,0.0601,0.5255,0.550
0.223085729,-0.1637,0.0557,0.5140,0.542
0.225148229,-0.1761,0.0496,0.5047,0.537
0.227366406,-0.1871,0.0428,0.4967,0.532
0.231112604,-0.1998,0.0337,0.4898,0.530
0.232536927,-0.2113,0.0227,0.4837,0.528
0.234846198,-0.2191,0.0098,0.4771,0.525
0.237767344,-0.2274,-0.0002,0.4744,0.526
0.240094635,-0.2328,-0.0122,0.4734,0.528
0.242550104,-0.2389,-0.0261,0.4700,0.528
0.245147604,-0.2426,-0.0459,0.4622,0.524
0.247547864,-0.2436,-0.0701,0.4512,0.518
0.251145937,-0.2433,-0.0953,0.4441,0.515
0.252272187,-0.2382,-0.1192,0.4368,0.512
0.254933021,-0.2313,-0.1353,0.4368,0.512
0.257753958,-0.2245,-0.1493,0.4395,0.516
0.259934844,-0.2165,-0.1559,0.4405,0.515
0.26280776,-0.2079,-0.1571,0.4405,0.512
0.26508375,-0.2013,-0.1564,0.4390,0.508
0.267635312,-0.1969,-0.1578,0.4373,0.505
0.271660208,-0.1971,-0.1627,0.4312,0.501
0.272771666,-0.1986,-0.1678,0.4251,0.498
0.274948333,-0.2069,-0.1725,0.4202,0.499
0.277564635,-0.2172,-0.1798,0.4153,0.502
0.280122187,-0.2282,-0.1869,0.4124,0.507
0.282422656,-0.2421,-0.1935,0.4119,0.515
0.285217448,-0.2550,-0.2008,0.4136,0.526
0.287521354,-0.2668,-0.2055,0.4124,0.532
0.29125875,-0.2765,-0.2082,0.4133,0.539
0.292554843,-0.2868,-0.2130,0.4141,0.547
